name,region,types,seabed,lat,lon,min_depth,max_depth,services,restrictions,wind_sectors,wave_sectors,prix,Port_id,warning_id_list
Port An Dro - Belle ile,,Mouillage,Sable,47.30466666666667,-3.0616666666666665,/,,Snack; Plage,,SO;O;NO;N,,0,1,
Port Blanc - Belle ile,,Mouillage,Sable,47.29083333333333,-3.0738333333333334,/,,Snack; Plage,,SO;O;NO;N,,0,2,
Port Herlin - Belle ile,,Mouillage,Sable,47.2995,-3.1721666666666666,/,,Plage,,NO;N;NE,,/,3,
Port Kérel - Belle ile,,Mouillage,Sable,47.296166666666664,-3.2041666666666666,/,,Plage,,NO;N;NE;E,,0,4,
Ster-Ouen - Belle ile,,Mouillage,Sable;Rochers;Algues,47.37083333333333,-3.2541666666666664,/,,Plage,,O;SO;S;SE;E;NE,,0,5,
Port Deuborh - Belle ile,,Mouillage,Sable,47.38,-3.2346666666666666,/,,Plage,,O;SO;S;SE,,0,6,
Port Yorch - Belle ile,,Mouillage,Sable,47.326166666666666,-3.122,/,,Plage,,O;SO;S;SE,,0,7,
Plage du Canot - Hoedic,,Mouillage,Sable;Rochers,47.343833333333336,-2.882833333333333,/,,Plage,,O;SO;S;SE,,0,8,
Port Blanc - Hoedic,,Mouillage,Sable;Rochers;Algues,47.341166666666666,-2.8913333333333333,/,,Plage,,SE;E;NE,,/,9,
Ber Er Lannegui - Hoedic,,Mouillage,Sable,47.33883333333333,-2.8611666666666666,/,,Plage,,SO;O;NO;N,,,10,
Rade De Houat - Houat,,Mouillage,Sable,47.385,-2.945333333333333,/,,Plage,,O;NO,,,11,
Treach Salus - Houat,,Mouillage,Sable,47.380833333333335,-2.9605,/,,Plage,,N;NE;E,,,12,
Port Halai - Houat,,Mouillage,Sable,47.40116666666667,-2.9878333333333336,/,,Plage,,SE;S;SO,,,13,
Plage du Beniguet - Houat,,Mouillage,Sable,47.39666666666667,-2.994666666666667,/,,Plage,,NE;E;SE,,0,14,
Plage des pirates - Houat,,Mouillage,Sable;Rochers,47.3905,-2.9803333333333333,/,,Plage,,NE;N;NO,,0,15,
Les Sables Rouges - Groix,,Mouillage;Bouee,Sable;Rochers;Algues,47.62866666666667,-3.4158333333333335,/,,Plage,,NO;O;SO,,0,16,
Les grands Sables - Groix,,Mouillage,Sable,47.6395,-3.4186666666666667,/,,Plage,,O;SO,,0,17,
Locmaria - Groix,,Mouillage;Bouee,Sable,47.62466666666667,-3.4403333333333332,/,,Plage;Snack;ponton,,O;NO;N;NE;E,,,18,
Port Saint Nicolas - Groix,,Mouillage,Sable;Rochers;Algues,47.63133333333333,-3.486666666666667,/,,Plage,,NO;N;NE;E,,,19,
Gavres,,Mouillage,Sable,47.69116666666667,-3.3503333333333334,/,,Plage,,N;NO;O,,,20,
Port Louis,,Port,Catway,47.71,-3.353833333333333,,,Douches;Eau;Wifi;Toilettes;Electricité,,/,,,21,
Larmor plage,,Mouillage;Bouee,Sable;Rochers;Algues,47.70466666666667,-3.376666666666667,/,,Plage;Snack,,N;NO;O,,,22,
Kernevel,,Port,Catway;Alongside,47.721666666666664,-3.368666666666667,,,Douches;Eau;Wifi;Toilettes;Electricité;Carburant;Traitement des eaux uséees,,/,,27,23,
Etel,,Port,Catway,47.658833333333334,-3.2071666666666667,,,Douches;Eau;Wifi;Toilettes;Electricité,,/,,/,24,
Port Manech,,Port,Bouee,47.80133333333333,-3.7388333333333335,1.8,,Douches;Eau;Wifi;Toilettes;Electricité;Traitement des eaux uséees;Cale de mise à l'eau,,/,,,25,
Concarneau,,Port,Bouee;Catway;Alongside,47.87,-3.9146666666666667,,,Douches;Eau;Wifi;Toilettes;Electricité;Carburant,,/,,35,26,
La Forêt-Fouesnant,,Port,Catway,47.8995,-3.9753333333333334,4.5,,Electricité;Eau;Carburant;Traitement des eaux uséees;Wifi;Douches;Toilettes,,/,,33,27,
Grande Plage du Loch - Les glenans,,Mouillage,Sable,47.709666666666664,-3.9958333333333336,/,,Plage,,S;SO;O;NO,,,28,
Port aux anglais - Les glenans,,Mouillage;Bouee,Sable;Rochers;Algues,47.71783333333333,-3.952166666666667,/,,Plage,,SO;O;NO,,,29,
Port Haliguen,,Port,Catway;Alongside,47.4875,-3.1005,3,,Electricité;Eau;Carburant,,/,,37,30,
La Trinité-sur-Mer,,Port,Bouee;Catway;Alongside,47.58866666666667,-3.0263333333333335,3,,Electricité;Eau;Carburant;Traitement des eaux uséees;Wifi;Douches;Toilettes,,/,,,31,
Le Crouesty,,Port,Catway;Alongside,47.54366666666667,-2.8945,2,,Electricité;Eau;Carburant;Wifi;Douches;Toilettes,,/,,,32,
La Turballe,,Port,Catway,47.346333333333334,-2.512,3,,Electricité;Eau;Carburant;Traitement des eaux uséees;Wifi;Douches;Toilettes,,/,,,33,
Penerf,,Port,Bouee;Catway;Alongside,47.5145,-2.6225,6,,Douches;Toilettes,,/,,33,34,
Pornichet,,Port,Pendilles;Catway,47.2575,-2.3488333333333333,3,,Electricité;Eau;Carburant;Traitement des eaux uséees;Douches;Toilettes,,/,,17,35,
Le Pouliguen,,Port,Catway;Alongside,47.27616666666667,-2.4261666666666666,1.5,,Electricité;Eau;Carburant;Traitement des eaux uséees;Wifi;Douches;Toilettes,,/,,/,36,
